Ensembl_ID_base,gene_name,gene_type,log2FC_7043,log2FC_7078,log2FC_7083,log2FC_8004,log2FC_8013,mean_log2FC,median_log2FC,mean_expression
ENSG00000259518,LINC01583,lncRNA,-1.335478648675882,-2.087350647328625,-4.543292616141969,-1.3958904946990716,-1.0061799675712515,-2.0736384748833596,-1.3958904946990716,19.059908401333335
ENSG00000178860,MSC,protein_coding,-1.4420852526551453,-3.6132084190809737,-0.6724143985558912,-2.937810334184773,-1.6830678731983255,-2.069717255535022,-1.6830678731983255,125.78874187666663
ENSG00000214530,STARD10,protein_coding,-2.0014883748538184,-2.493905989089245,-1.5098896143646554,-2.7114523247731777,-1.6287530427745391,-2.0690978691710873,-2.0014883748538184,76.88808598866667
ENSG00000101311,FERMT1,protein_coding,-1.2160890427972317,-1.9411729431816542,-4.720273152537368,-2.0320026657187817,-0.4290069943269774,-2.0677089597124025,-1.9411729431816542,19.133561890866666
ENSG00000114268,PFKFB4,protein_coding,-2.0829803425836237,-2.261670525026809,-2.314529339381286,-2.088033467107489,-1.5848392744039854,-2.066410589700639,-2.088033467107489,249.75356658466666
ENSG00000142583,SLC2A5,protein_coding,-0.8185194595144507,-4.7429070630818035,-2.0670048893798745,-2.454365677872392,-0.19402995169874426,-2.055365408309453,-2.0670048893798745,89.861961453
ENSG00000251493,FOXD1,protein_coding,-1.6110710717376246,-2.809605221336164,-1.0725336861055048,-2.445726463976909,-2.2773569963883826,-2.043258687908917,-2.2773569963883826,664.1328381133332
ENSG00000144824,PHLDB2,protein_coding,-1.4918053034176513,-2.233909230855911,-2.6338422011672584,-2.0954480980375063,-1.7599941416408669,-2.0429997950238388,-2.0954480980375063,2204.8706920199998
ENSG00000205476,CCDC85C,protein_coding,-2.013195905662525,-1.8920885629406632,-1.8660590198567615,-2.709764544942389,-1.730239996610809,-2.0422696060026295,-1.8920885629406632,169.7682766486666
ENSG00000188573,FBLL1,protein_coding,-1.8436328579518966,-2.7354216089836187,-0.9127267686961407,-2.8867233913329033,-1.8160296138678937,-2.0389068481664907,-1.8436328579518966,8.4045621102
ENSG00000144730,IL17RD,protein_coding,-1.82684012858022,-1.1415040004027222,-3.4781902310236927,-2.2496825968155107,-1.490522396779265,-2.037347870720282,-1.82684012858022,11.506369453533333
ENSG00000074410,CA12,protein_coding,-1.1076406229668443,-2.283925511582501,-2.662925520746656,-3.195215410800044,-0.92161069964531,-2.034263553148271,-2.283925511582501,1492.69418286
