Ensembl_ID_base,gene_name,gene_type,log2FC_7043,log2FC_7078,log2FC_7083,log2FC_8004,log2FC_8013,mean_log2FC,median_log2FC,mean_expression
ENSG00000138166,DUSP5,protein_coding,3.4344604681263764,1.6841479386602156,3.31756982945196,0.2585061128032251,0.7906436621160369,1.897065602231563,1.6841479386602156,234.36472435333332
ENSG00000070404,FSTL3,protein_coding,1.9145651150763001,1.2075465636639109,2.948657135738477,1.7746653215730284,1.630210361152459,1.895128899440835,1.7746653215730284,4035.004477266667
ENSG00000245552,AP000787.1,lncRNA,1.3326578935252673,1.8665018536763114,0.9486171687689935,4.331628601024251,0.9629631879662417,1.8884737409922132,1.3326578935252673,8.907145781933334
ENSG00000088836,SLC4A11,protein_coding,1.1366221930164455,2.445599146574533,3.5071249037576013,1.491610032959173,0.8517459445445432,1.8865404441704592,1.491610032959173,5.253023244066666
ENSG00000213949,ITGA1,protein_coding,1.7960239807411522,1.2944816940693809,2.406268509048143,2.346094292475355,1.5833019680240739,1.885234088871621,1.7960239807411522,1849.0676490133333
ENSG00000141753,IGFBP4,protein_coding,2.035582705155848,1.7886073811754724,1.754095012409234,2.1346384685756234,1.7009576368822934,1.8827762408396942,1.7886073811754724,20767.198471466665
ENSG00000115919,KYNU,protein_coding,0.30875446977015164,2.441796807007673,3.5071249037576013,2.2615586297042496,0.8881050883359474,1.881467979715125,2.2615586297042496,6.9542799605333325
ENSG00000259278,AC087878.1,lncRNA,1.2857047275252969,1.9791798722555285,0.6848985005984503,3.530668933111871,1.916901316703535,1.8794706700389363,1.916901316703535,11.276537245933332
ENSG00000189320,FAM180A,protein_coding,2.084425532543057,1.3897872534719253,2.2926686910327874,1.6886541422417638,1.941184092379105,1.8793439423337275,1.941184092379105,257.95645701666666
ENSG00000152049,KCNE4,protein_coding,2.361333130555586,0.08786432514666664,2.7878661492820687,1.0022877264402528,3.15269919045304,1.8784101043755228,2.361333130555586,4127.4582924666665
ENSG00000024526,DEPDC1,protein_coding,2.4746092420234493,1.8402495654735693,0.6079652635627752,2.629204761021686,1.832293009871501,1.8768643683905963,1.8402495654735693,148.51345580133332
ENSG00000185924,RTN4RL1,protein_coding,0.31189604879677724,3.787988370843173,1.7965190566005234,2.3452558855666874,1.1353326942790973,1.8753984112172517,1.7965190566005234,66.1731609572
ENSG00000085840,ORC1,protein_coding,3.520904444292004,1.2907063757369528,0.8779093643812255,1.1919684756014512,2.4891122024257526,1.8741201724874774,1.2907063757369528,28.460732200333332
ENSG00000137573,SULF1,protein_coding,1.1035763955992604,1.9459493570814708,2.125920448276821,2.805817567529278,1.3799805436221817,1.8722488624218023,1.9459493570814708,31440.877600600004
